gene,logFC,p_value,adj_p_value
200612_s_at,0.7365344868602399,1.0893795702377145e-07,3.5820756160357527e-07
200613_at,1.3889064342166026,1.4426976987822013e-07,4.585250854226202e-07
200614_at,0.7110676323887688,3.2000709538175084e-13,1.0579700454586875e-11
200615_s_at,0.010552796105482543,0.961503016848906,0.9627559865392367
200616_s_at,0.784797279606746,1.7171733244827815e-06,4.1029137024930105e-06
200617_at,0.49136006079848293,2.4318623330466635e-09,1.352363073802815e-08
200618_at,0.3875478109909398,0.0002143682876971445,0.00033080114645120986
200619_at,0.45172266851874987,7.457217378173744e-07,1.947827626747691e-06
200620_at,0.6383273919050527,1.3771835605062666e-10,1.2434271182642278e-09
200621_at,0.31005070448562577,0.001467262223496667,0.001968155798589949
200622_x_at,1.050778226425921,8.993644556682719e-09,4.1423187609872056e-08
200623_s_at,0.6559206611053305,1.4526644797304825e-13,6.005514397371863e-12
200624_s_at,0.779001609242437,9.939022591196995e-10,6.4152194322786574e-09
200625_s_at,0.8328161520341002,0.00020137490471640402,0.0003121990539063265
200626_s_at,0.5683162576213387,0.02992330564428633,0.03403159391985057
200627_at,0.6635002642480181,8.174353639884837e-06,1.6671162562470602e-05
200628_s_at,0.6697677945545113,1.9683685601767753e-08,8.077796527100084e-08
200629_at,0.6005577094707935,2.7227297237526194e-06,6.192139868787469e-06
200630_x_at,0.5655012659121414,2.4527826307801586e-08,9.773847525335171e-08
200631_s_at,0.44605938081006435,0.005305763728782633,0.006581769925316674
200632_s_at,0.6708816218666946,0.00031178809624066574,0.000467850111012172
200633_at,0.6740357255150506,1.9748376435799368e-11,2.581507173179664e-10
200634_at,1.4549730990565433,1.8508841906664867e-05,3.489867356627291e-05
200635_s_at,0.899020807270368,6.339372024551674e-06,1.3270101157640673e-05
200636_s_at,0.4880409950324829,0.00876152054677532,0.010573136330560218
200637_s_at,0.5480956510372206,0.0003572228667024952,0.0005300326166257813
200638_s_at,1.2767466753985932,3.833452572148283e-05,6.778892442280787e-05
200639_s_at,0.6085829505766345,0.0028361289100142227,0.0036511329656159757
200640_at,0.8316743149649515,1.301707348138904e-06,3.1927292062277598e-06
200641_s_at,0.8121205609201549,1.9549788981428656e-12,4.1686884963940165e-11
200642_at,0.6434229422205942,3.797724848069801e-08,1.4270607553042052e-07
200643_at,0.49706848839334494,6.7558059455889035e-06,1.4032403419608272e-05
200644_at,0.4065081805934092,0.012612030640810849,0.014926379794411948
200645_at,0.9221604450660266,2.126118333886549e-14,1.528267575290128e-12
200646_s_at,0.4254328632145148,0.010885643941672832,0.012972767352246
200647_x_at,0.6989524860357861,0.001740791716883616,0.0023098947077542795
200648_s_at,1.4629766286776498,3.5954262359623073e-09,1.889708613670749e-08
200649_at,0.35202399432887077,0.029261674014832952,0.03329951902724696
200650_s_at,0.7343229956177364,3.711460877892729e-10,2.7921162303201785e-09
200651_at,1.00372417635006,6.425123039555689e-05,0.00010893328516352385
200652_at,0.8933014188588793,1.7997593023834047e-09,1.0520471284105302e-08
