gene,logFC,p_value,adj_p_value
201147_s_at,1.1560839048718874,2.9116148612573197e-09,1.5774255763043243e-08
201162_at,1.342079318429338,5.039741431849679e-05,8.71898744766354e-05
201179_s_at,1.0031616983389302,2.5196869735464038e-12,5.0995626549985934e-11
201194_at,1.2179915238656225,4.008837087038808e-06,8.762032055957405e-06
201196_s_at,1.0965894123822295,1.829492183721661e-09,1.0671878096824548e-08
201201_at,1.2806479439651692,9.804597897652457e-08,3.2641705873523604e-07
201209_at,1.0519961037609669,6.808459530308895e-06,1.4136498668829025e-05
201234_at,1.183595420498234,5.9466080852650156e-08,2.1157315657665711e-07
201248_s_at,1.0932540667065078,3.105445535967308e-07,8.94154837549548e-07
201251_at,1.1141376254881674,2.4794915298339233e-09,1.3764451858318215e-08
201265_at,1.1701243195591147,2.963486637138493e-10,2.321102732349984e-09
201270_x_at,1.022282843058246,1.1165298798440494e-06,2.7829569700855654e-06
201274_at,1.455793826071635,1.4594095812760967e-05,2.810962373547866e-05
201280_s_at,1.030975725478891,6.011216072403654e-08,2.1342882049294235e-07
201323_at,1.4097762968387872,1.537621396864109e-07,4.842116674155306e-07
201325_s_at,1.0160923181833201,0.000246903984067292,0.0003772722675013006
201337_s_at,1.1910901091078223,1.3078265250127535e-10,1.190453368335751e-09
201348_at,1.1143446828528596,2.024272123617252e-06,4.767158711748386e-06
201360_at,1.4486619590920675,4.821359189477864e-09,2.428992693175113e-08
201399_s_at,1.032622109141407,1.8965887603208167e-13,7.273956513980853e-12
201425_at,1.063012245119495,8.179851472396607e-06,1.6679321958218668e-05
201426_s_at,1.2036732497207705,0.000175824775504589,0.00027521097728075
201435_s_at,1.1180910035957208,3.074920964926293e-11,3.7037007492677074e-10
201444_s_at,1.3889211537129835,5.07887984213457e-07,1.383698245779247e-06
201461_s_at,1.0363581205937678,0.0004806416981705417,0.0006980938916756799
201469_s_at,1.0177759211995028,1.4815197109030598e-05,2.8491157088161634e-05
201471_s_at,1.229275856161916,5.28029185735104e-07,1.4327903489692306e-06
201474_s_at,1.1123755772758042,1.8507951547565979e-09,1.0779212868123699e-08
201508_at,1.0934758786806897,3.6173216222186268e-06,7.99174873169717e-06
201515_s_at,1.053714037345875,0.0004942329473598609,0.0007163854007688661
201521_s_at,1.151685310263204,4.2444616477252563e-07,1.1798532788944912e-06
201524_x_at,1.0979247316455325,1.3016773534782364e-12,3.092415027177312e-11
201526_at,1.3288241924420756,1.71136345302443e-10,1.483825362791571e-09
201529_s_at,1.025736641889118,1.1333145467441658e-07,3.707229601453354e-07
201532_at,1.2688352575564963,6.024090174472705e-06,1.2663660505450498e-05
201543_s_at,1.1731068104471838,7.851607516954791e-09,3.6825377878405306e-08
201564_s_at,1.209701088629478,1.0118425771647552e-10,9.647791248165272e-10
201569_s_at,1.2566630860874692,0.00011862077353644136,0.0001917326778407459
201570_at,1.0923064282650312,2.2355506958517295e-06,5.202587588058913e-06
201577_at,1.0101861139832184,1.986673298986415e-11,2.5933826081613523e-10
201601_x_at,1.0816754578230867,0.0011057759394273276,0.0015137927909479108
201604_s_at,1.174086530362322,8.260141424944408e-07,2.1318266268349317e-06
201614_s_at,1.1621755015038309,1.630136919655435e-07,5.093593990355173e-07
201619_at,1.0611352162065781,4.7289415011270254e-12,8.470659442894977e-11
201620_at,1.0353202320772175,1.4390727744109403e-05,2.7763513967271847e-05
201641_at,1.0375544939199806,1.4531503958785763e-06,3.527293057882605e-06
201683_x_at,1.1359375832275997,1.6521472460482171e-12,3.6962647674389985e-11
201689_s_at,1.201672642278636,5.180235949703183e-06,1.1037597788031749e-05
201721_s_at,1.1217997835943034,4.5932605690199475e-12,8.267498001572818e-11
201771_at,1.0839294660630472,2.0737595248110978e-10,1.7377537572152161e-09
201781_s_at,1.0197508888193294,7.146828820172893e-07,1.874223686005797e-06
201821_s_at,1.3511407367497368,4.594340184875185e-07,1.2650260006906874e-06
201841_s_at,1.8402588040947485,4.095313576639777e-06,8.934391269655782e-06
201858_s_at,1.0680121568290621,2.4868580679044524e-07,7.366031945648666e-07
201866_s_at,1.1832625574538032,8.321915622516789e-09,3.8705332042692884e-08
201881_s_at,1.006651061269876,3.976555221662286e-07,1.1151469922514563e-06
201898_s_at,1.2983251900170352,7.088020098394217e-11,7.228482922312052e-10
201963_at,1.2315685309866247,0.001968799038010161,0.002589925554281859
201968_s_at,1.0049180232726567,2.8667799399851347e-08,1.1180993460165795e-07
201979_s_at,1.3234014821561964,1.7856041219422238e-13,7.01739270709675e-12
201982_s_at,1.181411059699844,6.404860309340596e-12,1.0655226159858398e-10
202009_at,1.0241015817998615,1.3502692514819858e-07,4.324859814686372e-07
202010_s_at,1.098396848424013,2.1716636494798297e-07,6.556182238363235e-07
202025_x_at,1.311183325881867,1.3519912704853074e-09,8.276489417643984e-09
202075_s_at,1.2203209076747221,3.7674035476893223e-10,2.8218169160726445e-09
202096_s_at,1.495754772071031,2.4634126539687e-10,1.9917352746148235e-09
202105_at,1.0000201171176641,4.229960922642761e-08,1.5696289631848232e-07
202113_s_at,1.3115289979658886,2.1723573448890825e-05,4.039946479399385e-05
202115_s_at,1.0774601128065857,3.698944692660061e-11,4.291827025538023e-10
202119_s_at,1.3346376660653725,1.4073538521213009e-05,2.7219916575660922e-05
202143_s_at,1.327303581176821,2.830676933834391e-13,9.794405918731636e-12
202156_s_at,1.2822864514750423,9.231359792830056e-05,0.00015201181662993803
202168_at,1.2682433561294228,3.847235448609579e-05,6.798948965133417e-05
202176_at,1.494451358378159,1.3096537563832616e-08,5.6898059375098886e-08
202190_at,1.0811347976514458,2.9898922154689094e-07,8.65705945869271e-07
202201_at,1.1697576429891203,4.249060414888105e-06,9.23364669640644e-06
202208_s_at,1.007581560602877,9.080610865884052e-08,3.054237764898028e-07
202209_at,1.0049919197686208,6.659339190695953e-07,1.7604704613391615e-06
202223_at,1.1668982400500507,1.0618052592496327e-12,2.6674415548883388e-11
202225_at,1.0990227655097833,2.9553730069764615e-05,5.343604082640092e-05
202232_s_at,1.0851070627760269,1.1611794950684041e-07,3.7883693541155565e-07
202235_at,1.0042215237321415,1.2397772711531548e-09,7.69525262760606e-09
202238_s_at,1.170376201179396,3.906631118831072e-10,2.909473971287192e-09
202243_s_at,1.1122944855669,0.000358952732420559,0.0005323844340074092
202262_x_at,1.0736759166604983,6.877151870715761e-05,0.00011594429532810721
202266_at,1.041059519498896,0.0006621666470767575,0.0009410114411231753
202268_s_at,1.02701230064417,2.2269270142305054e-06,5.18729334421566e-06
202283_at,1.3797130600536605,2.429656902701977e-05,4.470689080339237e-05
202288_at,1.1674515572402049,1.0106293461438015e-08,4.563293560308476e-08
202345_s_at,1.3856404005395735,0.002162380579366162,0.0028310415070514796
202349_at,1.0246228152699715,5.1047614960053415e-09,2.5475789566738414e-08
202358_s_at,1.015540079395464,3.097171636019477e-09,1.6617932955796294e-08
202363_at,1.1442655565016864,5.341089775793669e-05,9.198075036871184e-05
202381_at,1.1195643985495707,6.3106232252794055e-09,3.046352195166833e-08
202411_at,1.4601368435067492,1.064063609157749e-09,6.764773010802317e-09
202426_s_at,1.0340695997741198,3.3372223319664415e-07,9.542323267446197e-07
202430_s_at,1.023892104515216,0.0024057139513490194,0.00313122219497139
202459_s_at,1.0240430204296178,5.4257529363044346e-11,5.82941430470934e-10
202507_s_at,1.0944656906303507,4.3881747291904784e-07,1.2157366342229445e-06
202516_s_at,1.046839778849658,6.540137933017071e-05,0.00011074004070016672
202527_s_at,1.0788572188152195,8.717830159839337e-10,5.7660851722083684e-09
202541_at,1.0136943618921261,6.715178611706832e-07,1.7735489511042236e-06
202619_s_at,1.2748165733809191,2.6512152779959547e-13,9.392214632684239e-12
202621_at,1.0943666155440548,1.5341010053455753e-05,2.9405912001819747e-05
202626_s_at,1.0659275310653396,9.851527625701992e-10,6.369864629078795e-09
202628_s_at,1.0909994175591589,1.2189675555833994e-11,1.7512736325638226e-10
202635_s_at,1.032061983562178,3.618482071260465e-06,7.993519975601957e-06
202671_s_at,1.2981967114876856,0.00011665884700085355,0.00018887663210927994
202686_s_at,1.0046481408840258,3.396803652388028e-11,4.013473856755358e-10
202707_at,1.05842302109723,1.5385048097951935e-11,2.1201300356627273e-10
202734_at,1.01919681460436,1.0181034477770493e-13,4.67760806738474e-12
202744_at,1.0794133254384128,1.0121918710857917e-12,2.589514519334638e-11
202766_s_at,1.0525279649824029,2.5033499543565932e-05,4.5922571032294365e-05
202819_s_at,1.2000446662682123,4.924170286965254e-11,5.391905970734484e-10
202881_x_at,1.0407530589426184,2.436565232967524e-05,4.48192034721936e-05
202884_s_at,1.0140643342608158,7.477009710823944e-07,1.95185341361633e-06
202896_s_at,1.0227285331301728,3.606736772393316e-08,1.3665858782390793e-07
202937_x_at,1.0468420646679508,4.451260382478614e-14,2.5302917118053814e-12
202940_at,1.0155166123519752,2.1512885752052383e-11,2.774141395908468e-10
202941_at,1.3634072861330822,8.453831899873548e-08,2.868535651361082e-07
202942_at,1.3044724224448174,8.503911266475568e-05,0.0001409705808293967
202952_s_at,1.5796153649372666,2.9218771266655494e-09,1.5826005837017124e-08
202961_s_at,1.2824212395459238,0.000101691235090007,0.00016623767819753694
202979_s_at,1.0262875243161727,9.62395146418926e-09,4.383698088236494e-08
202982_s_at,1.1198634298472525,0.003457509358338584,0.0043967175159423996
202989_at,1.0310164969755808,2.415023147246791e-06,5.568497598313353e-06
203010_at,1.0585112097596703,2.0260689060734096e-05,3.786220516104813e-05
203039_s_at,1.039999030548639,1.2790411315197374e-08,5.573107847800999e-08
203041_s_at,1.111549556121684,2.6175924441072e-07,7.71021975307875e-07
203049_s_at,1.053763313556404,3.4847099010091373e-12,6.631066671578702e-11
203085_s_at,1.2095022241151483,2.301380631654946e-07,6.888067779068793e-07
203136_at,1.151532751899424,1.595094242949352e-11,2.1819205043364282e-10
203153_at,1.011356907366542,0.001395652361032652,0.001879908212590859
203165_s_at,1.2400528526254364,1.1170780298843461e-05,2.210085727914215e-05
203184_at,1.0025976899350155,2.080351409475026e-07,6.311296182073792e-07
203186_s_at,1.2668054995285978,0.001022658382978422,0.001407094581531842
203243_s_at,1.049784134160121,0.00025493176992737925,0.00038851980964230083
203250_at,1.022067240491463,2.332688609335288e-06,5.398764050874348e-06
203262_s_at,1.0465619467969933,2.0982297024667626e-09,1.1952007028785464e-08
203279_at,1.1203510020733525,4.882505658809804e-12,8.696792453657782e-11
203283_s_at,1.1494402843449558,2.9458765295514363e-05,5.3303261638647706e-05
203332_s_at,1.1145931854773092,3.933013616644934e-09,2.038124242318583e-08
203357_s_at,1.0833723215260695,4.5127950147308804e-11,5.035483791349434e-10
203364_s_at,1.2154600933378124,4.0422947913781504e-13,1.2722380626593125e-11
203367_at,1.058810175164357,6.824692803524602e-07,1.799273896603629e-06
203370_s_at,1.0346476741225485,6.42289926494931e-09,3.0938492071090675e-08
203382_s_at,1.5179204852038009,4.415665221390152e-06,9.550987005264682e-06
203392_s_at,1.0289857869136956,1.1786652058268722e-07,3.837555366529692e-07
203424_s_at,1.1859328602088244,0.0014476665909079474,0.0019440468700087081
203437_at,1.0941307486502811,1.2696206936253363e-13,5.472138861905874e-12
203473_at,1.075822510349079,1.0906406338292329e-08,4.865267251470644e-08
203481_at,1.092777036150772,5.5626850756085266e-06,1.1772562592818388e-05
203489_at,1.109182605336878,3.251311301756011e-11,3.8701372722772e-10
203491_s_at,1.0274470858680225,4.340678850665317e-05,7.593291476634892e-05
203508_at,1.0553549438763765,1.0108518202658034e-05,2.0207061192233695e-05
203512_at,1.0582570874066253,1.369172954153236e-10,1.2371971183048077e-09
203518_at,1.1218914636456478,1.999291576888787e-09,1.1496397569106991e-08
203548_s_at,1.1083527961999309,0.022376284460576403,0.025770660876319205
203557_s_at,1.0234147478723141,2.4950728110219632e-08,9.913999188302855e-08
203571_s_at,1.0621933810886404,0.011824647067996224,0.014031771786993283
203582_s_at,1.0676409767503792,7.123358657169987e-08,2.473582685954789e-07
203594_at,1.0635987368920592,6.954867119295054e-06,1.4406139741600053e-05
203634_s_at,1.0477100503973675,1.667110053893507e-07,5.197735179922907e-07
203649_s_at,1.074576102802812,9.051527696124237e-07,2.313018252898353e-06
203658_at,1.0021666588262779,4.205715371932364e-13,1.3143892795619756e-11
203660_s_at,1.1069754827941374,5.125300968767095e-09,2.5549682659292434e-08
203677_s_at,1.2498827161462671,1.4954222951481904e-08,6.378953285727616e-08
203711_s_at,1.3238592492219725,1.9108973128587775e-07,5.854602615486339e-07
203712_at,1.3707414137447724,1.5318865226871336e-08,6.511832770896108e-08
203729_at,1.6840321124158608,1.4148857039319212e-10,1.270773806558444e-09
203748_x_at,1.20018670584514,3.751815092007777e-11,4.3339396420533593e-10
203777_s_at,1.0266445379370577,9.499753928945385e-07,2.4112429297037248e-06
203790_s_at,1.1174903232321451,3.1620122720287336e-09,1.6907776543785705e-08
203799_at,1.047422588624416,1.3382183261154514e-05,2.601598234237533e-05
203842_s_at,1.0507355105231708,7.0579822250213875e-09,3.352971238682001e-08
203845_at,1.0635653404585241,3.245200671714357e-05,5.8241629001136455e-05
203851_at,1.0842001102827616,2.7984208622826596e-05,5.088307798795961e-05
203857_s_at,1.0416466612978486,7.835960166865675e-14,3.8854855838855415e-12
203867_s_at,1.2452706140735916,1.8912172511625077e-07,5.801485959203491e-07
203882_at,1.3080590023218477,6.969099220630944e-10,4.762957268649951e-09
203886_s_at,1.5266470467168478,1.2980305700668268e-07,4.180979357155117e-07
203901_at,1.3785718179771225,2.637410238333379e-09,1.4525311997227553e-08
203926_x_at,1.2388640596082485,2.16676531145375e-09,1.2267445135291177e-08
203927_at,1.302783106519371,3.156015755324769e-10,2.443554519663024e-09
203930_s_at,1.0057641497926708,4.0211932958860436e-07,1.1255401358149567e-06
203931_s_at,1.019910723707886,2.5290556014143037e-09,1.3987328360961759e-08
203940_s_at,1.1773896643094997,5.443566105613666e-06,1.1543489106527343e-05
203953_s_at,1.0321470918560571,1.2123689322843575e-08,5.323195451840855e-08
203967_at,1.0572428115172556,8.697341014856178e-11,8.537570477270494e-10
204002_s_at,1.030196965073669,5.048302290493238e-09,2.524491021971742e-08
204018_x_at,1.4743670726930471,1.3678169957088298e-05,2.6521985829603076e-05
204021_s_at,1.149795943668452,5.2639189065841855e-05,9.073714318512833e-05
204052_s_at,1.074953851062645,3.905491878468698e-18,6.216148251994143e-15
204053_x_at,1.0082248376117988,8.763841066491801e-06,1.7774157684958298e-05
204075_s_at,1.112602207596347,1.7856647792799403e-06,4.251519208964089e-06
204082_at,1.2311001954103427,4.533854039252603e-11,5.056449927761048e-10
204112_s_at,1.0428958578044485,0.000564259770772411,0.0008115012567523966
204123_at,1.1630141249033112,4.45733429587465e-08,1.6471439488387203e-07
204144_s_at,1.0571499962506037,2.1526697437685407e-06,5.033737496005071e-06
204171_at,1.041958728298681,1.2344749569328194e-05,2.415720160299817e-05
204175_at,1.0240772368594975,7.997157771823361e-10,5.347623149314183e-09
204193_at,1.1287513969799043,1.9727006687349433e-07,6.026554565590998e-07
204198_s_at,1.0516908484179872,4.009089697912352e-08,1.4946385433926877e-07
204242_s_at,1.2417094050101278,7.570325788885001e-11,7.653791722038316e-10
204246_s_at,1.0585993156876494,1.0630545750530284e-11,1.5792030063937755e-10
204261_s_at,1.0028553391706563,1.0879649377611845e-11,1.6023213951178104e-10
204298_s_at,1.086402501338947,1.7914902834601893e-09,1.0484420618256604e-08
204300_at,1.3941172670939288,2.9450091778072532e-08,1.1438724735045067e-07
204309_at,1.086647356576382,1.0873194292965093e-08,4.8525413264598675e-08
204330_s_at,1.0440272283453762,3.9556937321418566e-05,6.972371731792199e-05
204331_s_at,1.082522687488078,0.00016297200795997643,0.0002568794831557017
204343_at,1.0703094458112652,1.0367315807078302e-05,2.067987629837309e-05
204349_at,1.095927273130279,4.607428118542543e-09,2.3354713549928002e-08
204369_at,1.2910225222494454,9.375694080773481e-09,4.287268442476411e-08
204382_at,1.0515684916300883,1.0099452788961048e-09,6.485112229880328e-09
204384_at,1.1696468060876049,1.4836666498566203e-07,4.696137138637859e-07
204385_at,1.0945079230615171,1.9504134226487915e-12,4.16538269160195e-11
204389_at,1.1224764023936462,1.5154747715577927e-09,9.134250563868622e-09
204392_at,1.1919124366040865,1.169850999178268e-06,2.8999654927900043e-06
204402_at,1.1571205898326173,3.639456429079008e-10,2.746886972451522e-09
204415_at,1.0271095103805994,0.00019072460602638177,0.0002970307797096635
204463_s_at,1.1790131666860724,7.355396422347916e-05,0.00012342819374891077
204470_at,1.0203943782944531,2.0218074698834666e-12,4.2743772155041065e-11
204479_at,1.0240972407490112,1.0017209150220475e-06,2.527612631574712e-06
204521_at,1.0030034132199805,3.5203812511638135e-13,1.1338383465449057e-11
204525_at,1.0787170550643923,4.420516034518986e-10,3.2182276546104657e-09
